year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes,version,notes,party_simplified
2020,ALABAMA,AL,1,63,41,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,FALSE,849624,2323282,20210113,NA,DEMOCRAT
2020,ALABAMA,AL,1,63,41,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,FALSE,1441170,2323282,20210113,NA,REPUBLICAN
2020,ALABAMA,AL,1,63,41,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,FALSE,25176,2323282,20210113,NA,LIBERTARIAN
2020,ALABAMA,AL,1,63,41,US PRESIDENT,,,TRUE,7312,2323282,20210113,NA,OTHER
2020,ALASKA,AK,2,94,81,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,FALSE,153778,359530,20210113,NA,DEMOCRAT
2020,ALASKA,AK,2,94,81,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,FALSE,189951,359530,20210113,NA,REPUBLICAN
2020,ALASKA,AK,2,94,81,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,FALSE,8897,359530,20210113,NA,LIBERTARIAN
2020,ALASKA,AK,2,94,81,US PRESIDENT,"DE LA FUENTE, ROQUE """"ROCKY""""",ALLIANCE,FALSE,318,359530,20210113,NA,OTHER
2020,ALASKA,AK,2,94,81,US PRESIDENT,"PIERCE, BROCK",INDEPENDENT,FALSE,825,359530,20210113,NA,OTHER
2020,ALASKA,AK,2,94,81,US PRESIDENT,"JANOS, JAMES G. ""JESSE VENTURA""",GREEN,FALSE,2673,359530,20210113,NA,OTHER
2020,ALASKA,AK,2,94,81,US PRESIDENT,"BLANKENSHIP, DON",CONSTITUTION PARTY,FALSE,1127,359530,20210113,NA,OTHER
2020,ALASKA,AK,2,94,81,US PRESIDENT,,,TRUE,1961,359530,20210113,NA,OTHER
2020,ARIZONA,AZ,4,86,61,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,FALSE,1672143,3387326,20210113,NA,DEMOCRAT
2020,ARIZONA,AZ,4,86,61,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,FALSE,1661686,3387326,20210113,NA,REPUBLICAN
2020,ARIZONA,AZ,4,86,61,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,FALSE,51465,3387326,20210113,NA,LIBERTARIAN
