,,,,,,,,,,,,,,,,,,PAT,,,FG,,,,,,Kick Returns,,,,Punt Returns,,,,,Tackles,,,,,Def Interceptions,,,,Fumbles,,,,,,,,,,Pass Coverage,,,,,,,,,,,Pass Rush,,,,,Tackles,,Snap Counts,,,Snap Counts,,,
Rk,Player,G,Sk,Sfty,Tgt,Def%,Fmb,Int,RtY,KRTD,PRTD,Season,Age,Team,G,GS,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Ret,Yds,Y/Ret,KRTD,Ret,Yds,Y/Ret,PRTD,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,IntTD,PD,Fmb,FR,Yds,FRTD,FF,Touch,TotOff,YScm,APYd,RtY,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Prss,MTkl,MTkl%,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos
1,Adrian Amos,1,0,0,0,0,0,0,0,0,0,2024,31,SFO,1,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,8,1.8,S
2,Chigozie Anusiem,1,0,0,0,0.7,0,0,0,0,0,2024,24,CLE,1,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,8,0.7,5,1.1,CB
3,Miles Battle,1,0,0,6,1.6,0,0,0,0,0,2024,24,NWE,1,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,2,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,1,16.7,11,11,1.8,0,39.6,15.5,3,8,0,0,0,0,0,0,0,0,0,18,1.6,2,0.5,CB
4,Marquise Blair,1,0,0,0,0,0,0,0,0,0,2024,27,SEA,1,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2.1,FS
5,Lewis Cine,1,0,0,0,0,0,0,0,0,0,2024,25,BUF,1,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,16,3.6,S
6,Bump Cooper,1,0,0,0,0,0,0,0,0,0,2024,23,BAL,1,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,6,1.3,CB
7,Thomas Graham,1,0,0,0,0,0,0,0,0,0,2024,25,PIT,1,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,4,0.9,DB
8,Kahlef Hailassie,1,0,0,0,0,0,0,0,0,0,2024,24,CLE,1,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,8,1.7,CB
9,Bryce Hall,1,0,0,3,1.5,0,0,0,0,0,2024,27,TAM,1,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,33.3,5,5,1.7,0,42.4,12.3,-3,8,0,0,0,0,0,0,,0,0,17,1.5,3,0.6,CB
10,Dominique Hampton,1,0,0,0,0,0,0,0,0,0,2024,24,WAS,1,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,6,1.3,S
11,Tre Herndon,1,0,0,0,0,0,0,0,0,0,2024,28,NOR,1,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,6,1.3,DB
