Rk,Player,G,Sk,Pts,Sfty,Tgt,Def%,Fmb,Int,Season,Age,Team,G,GS,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,IntTD,PD,Fmb,FR,Yds,FRTD,FF,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Prss,MTkl,MTkl%,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos
1,McTelvin Agim,1,0,0,0,0,1.1,0,0,2023,26,IND,1,0,0,0,0,,0,0,,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,1,0,1,0,0,0,0,13,1.1,6,1.2,DT
2,Eli Ankou,1,0,0,0,0,0.8,0,0,2023,29,ATL,1,0,0,0,0,,0,0,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,9,0.8,0,0,DT
3,L.J. Collier,1,0,0,0,0,3.3,0,0,2023,28,ARI,1,1,0,0,0,,0,0,,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,37,3.3,3,0.7,DL
4,Marquise Copeland,1,0,0,0,0,1,0,0,2023,26,LAR,1,0,0,0,0,,0,0,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,DT
5,Michael Dogbe,1,0,0,0,0,1.3,0,0,2023,27,HOU,1,0,0,0,0,,0,0,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,15,1.3,0,0,DE
6,Jack Heflin,1,0,0,0,0,1.5,0,0,2023,25,NOR,1,0,0,0,0,,0,0,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,17,1.5,0,0,DT
7,Trysten Hill,1,0,0,0,0,0.4,0,0,2023,25,NWE,1,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,4,0.4,0,0,DT
8,Khalid Kareem,1,0,0,0,1,2.4,0,0,2023,25,CHI,1,0,0,0,0,,0,0,,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,,0,0,39.6,5,0,0,0,0,0,0,0,0,0,0,0,26,2.4,0,0,DL
9,Mike Morris,1,0,0,0,0,2.2,0,0,2023,22,SEA,1,0,0,0,0,,0,0,,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,1,25,0,0,26,2.2,8,1.7,DE
10,Jayden Peevy,1,0,0,0,0,0.3,0,0,2023,24,TEN,1,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,4,0.3,0,0,DT
11,Benning Potoa'e,1,0,0,0,0,2.4,0,0,2023,27,WAS,1,0,0,0,0,,0,0,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,28,2.4,6,1.3,DT
12,Taylor Stallworth,1,0,0,0,0,0.5,0,0,2023,28,TEN,1,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,6,0.5,0,0,DT
13,BJ Thompson,1,0,0,0,1,2.6,0,0,2023,26,KAN,1,0,0,0,0,,0,0,,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,100,1,1,1,0,79.2,-7,-7,8,5,0,0,0,0,2,50,0,0,28,2.6,16,3.8,DE
14,Perrion Winfrey,1,0,0,0,0,1.1,0,0,2023,23,NYJ,1,0,0,0,0,,0,0,,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,13,1.1,1,0.2,DT
15,Tyson Alualu,2,0,0,0,0,6.1,0,0,2023,36,DET,2,1,0,0,0,,0,0,,0,0,0,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,67,6.1,0,0,DL
16,Eric Banks,2,0,0,0,0,3.8,0,0,2023,25,ARI,2,0,0,0,0,,0,0,,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,42,3.8,10,2.3,DE
17,Travis Bell,2,0,0,0,0,2.6,0,0,2023,25,ATL,2,0,0,0,0,,0,0,,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,30,2.6,0,0,DT
18,Austin Bryant,2,0,0,0,0,3.3,0,0,2023,27,SFO,2,0,0,0,0,,0,0,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,1,0,0,1,0,0,0,0,36,3.3,2,0.5,DL
19,Matthew Butler,2,0,0,0,0,1,0,0,2023,24,LVR,2,0,0,0,0,,0,0,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,11,1,8,1.8,DT
20,Frank Clark,2,0,0,0,2,3.2,0,0,2023,30,DEN,2,0,0,0,0,,0,0,,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,100,9,4.5,4.5,0,85.4,-1.5,-3,12,0,0,0,0,0,0,0,0,0,36,3.2,0,0,DE
21,Austin Faoliu,2,0,0,0,0,1.9,0,0,2023,24,SEA,2,0,0,0,0,,0,0,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,1,50,0,0,22,1.9,6,1.3,NT
22,Joe Gaziano,2,0,0,0,0,4.2,0,0,2023,27,ATL,2,0,0,0,0,,0,0,,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,1,33.3,0,0,48,4.2,2,0.4,DL
23,Bruce Hector,2,0,0,0,0,3.3,0,0,2023,29,NYJ,2,0,0,0,0,,0,0,,0,0,0,0,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,37,3.3,0,0,DL
24,Nesta Jade Silvera,2,0,0,0,0,2.1,0,0,2023,23,LVR,2,0,0,0,0,,0,0,,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,24,2.1,3,0.7,DT
25,Sam Kamara,2,0,0,0,0,7.5,0,0,2023,26,CLE,2,0,0,0,0,,0,0,,0,0,0,0,4,3,7,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,1,0,0,0,0,0,0,0,0,80,7.5,7,1.4,DE
26,T.Y. McGill,2,0,0,0,0,4.7,0,0,2023,31,SFO,2,0,0,0,0,,0,0,,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,,0,,,0,,,0,0,0,0,1,0,1,0,0,0,0,51,4.7,10,2.3,DL
27,T.J. Smith,2,0,0,0,0,3.9,0,0,2023,26,MIN,2,0,0,0,0,,0,0,,0,0,0,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,44,3.9,14,3.2,DL
28,Payton Turner,2,0,0,0,0,2.3,0,0,2023,24,NOR,2,0,0,0,0,,0,0,,0,0,0,0,0,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,,0,,,0,,,0,0,0,0,1,0,1,0,0,0,0,25,2.3,6,1.3,DE
29,Kendal Vickers,2,0,0,0,0,5.8,0,0,2023,28,BUF,2,0,0,0,0,,0,0,,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,1,0,0,1,1,33.3,0,0,62,5.8,5,1.2,DE
30,Carlos Watkins,2,1,0,0,0,3.9,0,0,2023,30,ARI,2,1,0,0,0,,0,0,,0,0,0,1,4,3,7,1,1,0,0,0,1,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,1,1,0,0,0,0,43,3.9,5,1.1,DT
31,Carl Davis,3,0,0,0,0,2.8,0,0,2023,31,DAL,3,0,0,0,0,,0,0,,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,30,2.8,0,0,NT
32,Kalia Davis,3,1,0,0,0,4.9,0,0,2023,25,SFO,3,0,0,0,0,,0,0,,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,1,0,0,0,0,54,4.9,5,1.2,DL
33,Daniel Ekuale,3,0,0,0,0,4.7,0,0,2023,29,NWE,3,0,0,0,0,,0,0,,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,53,4.7,12,2.6,DL
34,Neil Farrell,3,0,0,0,0,3.8,0,0,2023,25,KAN,3,0,0,0,0,,0,0,,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,1,0,0,0,0,0,41,3.8,0,0,DL
35,Elijah Garcia,3,1,0,0,0,2.7,0,0,2023,25,DEN,3,0,0,0,0,,0,0,,0,0,0,1,1,3,4,0,1,0,0,0,0,0,0,0,0,1,0,0,,0,,,0,,,0,0,0,0,0,0,1,0,0,0,0,31,2.7,8,1.7,DL
36,Christopher Hinton,3,0,0,0,0,7,0,0,2023,23,LAC,3,0,0,0,0,,0,0,,0,0,0,0,4,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,81,7,17,3.7,DL
37,Tyler Lancaster,3,0,0,0,0,3.7,0,0,2023,29,DEN,3,0,0,0,0,,0,0,,0,0,0,0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,42,3.7,0,0,NT
38,Brodric Martin,3,0,0,0,0,2.6,0,0,2023,24,DET,3,0,0,0,0,,0,0,,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,28,2.6,0,0,DL
39,Mike Pennel,3,0,0,0,0,4.1,0,0,2023,32,KAN,3,0,0,0,0,,0,0,,0,0,0,0,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,45,4.1,2,0.5,DT
40,Jason Pierre-Paul,3,0,0,0,0,1,0,0,2023,34,"MIA,NOR",3,0,0,0,0,,0,0,,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,22,1,8,0.9,DE
41,Hassan Ridgeway,3,0,0,0,0,5.4,0,0,2023,29,HOU,3,1,0,0,0,,0,0,,0,0,0,0,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,62,5.4,2,0.4,DT
42,Deadrin Senat,3,0,0,0,0,1.6,0,0,2023,29,TAM,3,0,0,0,0,,0,0,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,18,1.6,5,1.2,NT
43,Chase Winovich,3,0,0,0,0,0.5,0,0,2023,28,MIA,3,0,0,0,0,,0,0,,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,5,0.5,47,10.3,DE
44,Robert Beal,4,1,0,0,0,3.6,0,0,2023,24,SFO,4,0,0,0,0,,0,0,,0,0,0,1,2,3,5,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,1,0,0,0,0,39,3.6,40,9.2,DL
45,Ross Blacklock,4,0,0,0,0,3,0,0,2023,25,"JAX,TEN",4,0,0,0,0,,0,0,,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,69,3,0,0,DT
46,Marcus Davenport,4,2,0,0,1,10.4,0,0,2023,27,MIN,4,3,0,0,0,,0,0,,0,0,0,2,3,4,7,2,4,0,0,0,0,0,0,0,0,0,1,1,100,0,0,0,0,79.2,-6,-6,6,7,2,2,0,6,0,0,0,0,118,10.4,5,1.1,DL
47,Cory Durden,4,0,0,0,0,3.9,0,0,2023,24,LAR,4,0,0,0,0,,0,0,,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,1,25,0,0,44,3.9,19,4.1,DT
48,Timmy Horne,4,0,0,0,0,2.8,0,0,2023,26,"ATL,NYG",4,0,0,0,0,,0,0,,0,0,0,0,0,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,1,0,1,1,0,0,0,0,64,2.8,1,0.1,DL
49,Siaki Ika,4,0,0,0,0,9.4,0,0,2023,23,CLE,4,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,1,0,1,2,100,0,0,100,9.4,5,1,DT
50,Isaiah McGuire,4,1,0,0,0,8.9,0,0,2023,22,CLE,4,1,0,0,0,,0,0,,0,0,0,1,5,1,6,2,2,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,1,1,1,0,3,0,0,0,0,94,8.9,22,4.3,DE
51,PJ Mustipher,4,0,0,0,0,3.8,0,0,2023,24,NOR,4,0,0,0,0,,0,0,,0,0,0,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,42,3.8,1,0.2,DT
52,Brandon Pili,4,0,0,0,0,2.7,0,0,2023,24,MIA,4,0,0,0,0,,0,0,,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,30,2.7,21,4.6,DT
53,Tanzel Smart,4,0,0,0,0,5.5,0,0,2023,29,NYJ,4,0,0,0,0,,0,0,,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,1,33.3,0,0,63,5.5,0,0,DL
54,Keondre Coburn,5,0,0,0,0,4.8,0,0,2023,23,"KAN,TEN",5,0,0,0,0,,0,0,,0,0,0,0,3,5,8,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,107,4.8,8,0.9,NT
55,Marlon Davidson,5,1,0,0,1,14.2,0,0,2023,25,TEN,5,3,0,0,0,,0,0,,0,0,0,1,6,4,10,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,39.6,-5,0,0,0,1,0,0,2,0,0,0,0,163,14.2,3,0.7,DL
56,Jalen Harris,5,0,0,0,1,7.5,0,0,2023,24,WAS,5,0,0,0,0,,0,0,,0,0,0,0,5,1,6,0,1,0,0,0,1,0,0,0,0,0,1,1,100,1,1,1,0,79.2,1,1,0,0,0,1,1,1,0,0,0,0,87,7.5,2,0.4,DE
57,Jalyn Holmes,5,1,0,0,0,7.1,0,0,2023,27,NYJ,5,0,0,0,0,,0,0,,0,0,0,1,3,2,5,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,1,1,16.7,0,0,81,7.1,16,3.3,DL
58,Phil Hoskins,5,0,0,0,0,11.2,0,0,2023,26,ARI,5,1,0,0,0,,0,0,,0,0,0,0,2,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,1,0,0,1,0,0,0,0,124,11.2,3,0.7,DT
59,Efe Obada,5,0,0,0,0,8.4,0,0,2023,31,WAS,5,0,0,0,0,,0,0,,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,1,0,0,0,0,0,0,0,0,98,8.4,20,4.2,DE
60,Kyle Phillips,5,0,0,0,0,5.1,0,0,2023,26,NOR,5,0,0,0,0,,0,0,,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,56,5.1,13,2.8,DE
61,Ben Stille,5,1,0,0,0,12.1,0,0,2023,26,ARI,5,0,0,0,0,,0,0,,0,0,0,1,6,2,8,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,2,0,0,3,0,0,0,0,134,12.1,0,0,DL
62,Chris Wormley,5,0,0,0,0,4.4,0,0,2023,30,CAR,5,0,0,0,0,,0,0,,0,0,0,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,46,4.4,10,2.3,DE
63,Quinton Bohanna,6,0,0,0,0,5,0,0,2023,24,"DET,TEN",6,3,0,0,0,,0,0,,0,0,0,0,5,5,10,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,113,5,0,0,DT
