,,,,,,,,,,,,,,,,PAT,,,FG,,,,,,,Tackles,,,,,Def Interceptions,,,,Fumbles,,,,,Pass Coverage,,,,,,,,,,,Pass Rush,,,,,Tackles,,Snap Counts,,,Snap Counts,,,
Rk,Player,G,Sk,Pts,Sfty,Tgt,Def%,Fmb,Int,Season,Age,Team,G,GS,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,IntTD,PD,Fmb,FR,Yds,FRTD,FF,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Prss,MTkl,MTkl%,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos
1,Genard Avery,1,0,0,0,0,0.2,0,0,2024,29,IND,1,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,2,0.2,0,0,DE
2,Angelo Blackson,1,0,0,0,0,2.2,0,0,2024,32,ARI,1,0,0,0,0,,0,0,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,1,0,0,1,0,0,0,0,24,2.2,0,0,DL
3,Quinton Bohanna,1,0,0,0,0,0.6,0,0,2024,25,SEA,1,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,7,0.6,0,0,DT
4,Derrick Brown,1,0,0,0,0,4.9,0,0,2024,26,CAR,1,1,0,0,0,,0,0,,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,60,4.9,8,1.7,DE
5,Solomon Byrd,1,0,0,0,0,1.8,0,0,2024,25,HOU,1,0,0,0,0,,0,0,,0,0,0,0,2,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,1,1,1,0,0,0,0,20,1.8,1,0.2,DE
6,Kameron Cline,1,0,0,0,0,0,0,0,2024,26,BUF,1,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,17,3.8,DE
7,DJ Coleman,1,0,0,0,1,0.9,0,0,2024,26,JAX,1,0,0,0,0,,0,0,,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,1,1,100,7,7,7,0,95.8,-1,-1,8,0,0,0,0,0,0,0,0,0,11,0.9,4,0.9,DE
8,Branson Deen,1,0,0,0,0,0.8,0,0,2024,24,BUF,1,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,1,100,0,0,9,0.8,6,1.3,DT
9,Michael Dwumfour,1,0,0,0,0,0.5,0,0,2024,26,CLE,1,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,5,0.5,1,0.2,DT
10,Kingsley Jonathan,1,0,0,0,0,0.6,0,0,2024,26,BUF,1,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,1,0,1,0,,0,0,7,0.6,13,2.9,DE
11,Truman Jones,1,0,0,0,0,1.7,0,0,2024,24,NWE,1,0,0,0,0,,0,0,,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,19,1.7,7,1.6,DE
12,Jamie Sheriff,1,0,0,0,0,1.4,0,0,2024,24,CAR,1,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,5,0,0,0,0,0,,0,0,17,1.4,11,2.3,DE
