player,percent_yes,inducted,no_votes
César Hernández,62,0,
Steve Cishek,76,1,4612
B.J. Upton,55,0,6362
Mark Reynolds,67,1,8704
Josh Reddick,66,1,9281
Rickie Weeks,65,1,10243
Carlos Peña,89,1,10139
Derek Holland,24,0,12952
Jackie Bradley Jr. ,80,1,16725
James Loney,57,0,12813
Kurt Suzuki,85,1,19763
Jason Kipnis,89,1,27338
Scott Kazmir,65,1,22598
Darwin Barney,19,0,18357
Denard Span,89,1,32906
Eric Hosmer,88,1,44608
Hideki Matsui,93,1,30800
Alex Avila,29,0,31778
Kelvin Herrera ,54,0,30578
Shane Victorino,96,1,40945
Darren O'Day,92,1,41000
Dee Strange-Gordon,79,1,54571
Jay Bruce,90,1,42400
James Shields,71,1,33500
Austin Jackson,65,1,34400
Pedro Álvarez,22,0,32968
