Rk,Player,G,Sk,Pts,Sfty,Tgt,Def%,Fmb,Int,Season,Age,Team,G,GS,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,IntTD,PD,Fmb,FR,Yds,FRTD,FF,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Prss,MTkl,MTkl%,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos
1,Liam Anderson,1,0,0,0,0,0,0,0,2023,23,IND,1,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,8,1.6,LB
2,Ryan Connelly,1,0,0,0,0,0.1,0,0,2023,28,NOR,1,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,1,0.1,21,4.5,LB
3,Olakunle Fatukasi,1,0,0,0,0,0,0,0,2023,24,LAR,1,0,0,0,0,,0,0,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2.6,LB
4,Tomon Fox,1,0,0,0,0,1.7,0,0,2023,25,NYG,1,0,0,0,0,,0,0,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,19,1.7,12,2.6,OLB
5,Blake Martinez,1,0,0,0,0,1.9,0,0,2023,29,PIT,1,1,0,0,0,,0,0,,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,1,0,0,0,0,1,20,0,0,21,1.9,5,1.1,LB
6,Patrick O'Connell,1,0,0,0,0,0,0,0,2023,24,SEA,1,0,0,0,0,,0,0,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3.7,LB
7,Ty Shelby,1,0,0,0,0,0.9,0,0,2023,25,LAC,1,0,0,0,0,,0,0,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,10,0.9,2,0.4,OLB
8,Jaylon Smith,1,0,0,0,0,2.2,0,0,2023,28,LVR,1,0,0,0,0,,0,0,,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,1,0,0,0,0,0,0,0,0,25,2.2,0,0,LB
9,Brevin Allen,2,0,0,0,0,1,0,0,2023,23,LAC,2,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,12,1,18,3.9,OLB
10,Troy Andersen,2,0.5,0,0,9,12.2,0,0,2023,24,ATL,2,2,0,0,0,,0,0,,0,0,0,0.5,7,12,19,1,1,0,0,0,0,0,0,0,0,0,9,7,77.8,49,7,5.4,0,89.4,2.6,13,36,8,0,0,0,1,4,17.4,0,0,139,12.2,13,2.8,LB
