,,,,,,,,,,,,,,,,PAT,,,FG,,,,,,,Tackles,,,,,Def Interceptions,,,,Fumbles,,,,,Pass Coverage,,,,,,,,,,,Pass Rush,,,,,Tackles,,Snap Counts,,,Snap Counts,,,
Rk,Player,G,Sk,Pts,Sfty,Tgt,Def%,Fmb,Int,Season,Age,Team,G,GS,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,IntTD,PD,Fmb,FR,Yds,FRTD,FF,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Prss,MTkl,MTkl%,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos
1,Markus Bailey,1,0,0,0,0,0,0,0,2024,27,ARI,1,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,16,3.7,LB
2,Shaquil Barrett,1,0,0,0,1,1.1,0,0,2024,32,TAM,1,0,0,0,0,,0,0,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,100,6,6,6,0,91.7,4,4,2,0,0,0,0,0,0,0,0,0,12,1.1,0,0,OLB
3,Curtis Bolton,1,0,0,0,0,0,0,0,2024,29,NYG,1,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,15,3.4,LB
4,Carter Coughlin,1,0,0,0,0,0,0,0,2024,27,NYG,1,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,10,2.3,LB
5,Tony Fields,1,0,0,0,0,1.3,0,0,2024,25,CLE,1,0,0,0,0,,0,0,,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,1,0,0,0,0,0,0,0,0,14,1.3,24,5.2,LB
6,Carl Jones,1,0,0,0,0,0,0,0,2024,23,CHI,1,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,12,2.7,LB
7,Shaq Lawson,1,0,0,0,0,1.1,0,0,2024,30,CAR,1,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,14,1.1,0,0,OLB
8,Jamie Sheriff,1,0,0,0,0,0,0,0,2024,24,SEA,1,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,8,1.7,LB
9,Keir Thomas,1,0,0,0,0,3.5,0,0,2024,26,LAR,1,1,0,0,0,,0,0,,0,0,0,0,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,0,0,0,0,1,0,1,1,25,0,0,39,3.5,14,3.2,OLB
